Date,Time,Precip. Rate.,Precip. Accum.
2020-07-07,12:00 AM,0.15,0.00
2020-07-07,12:15 AM,0.16,0.01
2020-07-07,12:30 AM,0.83,0.83
2020-07-07,12:45 AM,0.91,0.91
2020-07-07,1:00 AM,0.93,0.93
2020-07-07,1:15 AM,0.96,0.98
2020-07-07,1:30 AM,0.29,1.14
2020-07-07,1:45 AM,0.27,1.18
2020-07-07,2:00 AM,0.26,1.19
2020-07-07,2:15 AM,0.21,1.19
2020-07-07,2:30 AM,0.18,1.33
2020-07-07,2:45 AM,0.65,1.83
2020-07-07,3:15 AM,1.49,2.68
2020-07-07,3:30 AM,1.36,2.69
2020-07-07,3:45 AM,0.88,2.69
2020-07-07,4:00 AM,0.08,2.69
2020-07-07,4:15 AM,0.01,2.69
2020-07-07,4:30 AM,0.00,2.69
2020-07-07,4:45 AM,0.00,2.69
2020-07-07,5:00 AM,0.00,2.69
2020-07-07,5:15 AM,0.00,2.69
2020-07-07,5:30 AM,0.00,2.69
2020-07-07,6:00 AM,0.00,2.69
2020-07-07,6:15 AM,0.00,2.69
2020-07-07,6:30 AM,0.00,2.69
2020-07-07,7:00 AM,0.00,2.69
2020-07-07,7:15 AM,0.00,2.69
2020-07-07,7:30 AM,0.00,2.69
2020-07-07,7:45 AM,0.00,2.69
2020-07-07,8:00 AM,0.00,2.69
2020-07-07,8:15 AM,0.00,2.69
2020-07-07,8:30 AM,0.00,2.69
2020-07-07,8:45 AM,0.00,2.69
2020-07-07,9:00 AM,0.00,2.69
2020-07-07,9:15 AM,0.00,2.69
2020-07-07,9:30 AM,0.00,2.69
2020-07-07,9:45 AM,0.00,2.69
2020-07-07,10:00 AM,0.00,2.69
2020-07-07,10:15 AM,0.00,2.69
2020-07-07,10:30 AM,0.00,2.69
2020-07-07,10:45 AM,0.00,2.69
2020-07-07,11:00 AM,0.00,2.69
2020-07-07,11:15 AM,0.00,2.69
2020-07-07,11:30 AM,0.00,2.69
2020-07-07,11:45 AM,0.00,2.69
2020-07-07,12:00 PM,0.00,2.69
2020-07-07,12:15 PM,0.00,2.69
2020-07-07,12:30 PM,0.00,2.69
2020-07-07,12:45 PM,0.00,2.69
2020-07-07,1:15 PM,0.00,2.69
2020-07-07,1:30 PM,0.00,2.69
2020-07-07,1:45 PM,0.00,2.69
2020-07-07,2:15 PM,0.00,2.69
2020-07-07,2:30 PM,0.00,2.69
2020-07-07,2:45 PM,0.00,2.69
2020-07-07,3:00 PM,0.00,2.69
2020-07-07,3:15 PM,0.00,2.69
2020-07-07,3:30 PM,0.00,2.69
2020-07-07,3:45 PM,0.00,2.69
2020-07-07,4:00 PM,0.00,2.69
2020-07-07,4:15 PM,0.00,2.69
2020-07-07,4:30 PM,0.00,2.69
2020-07-07,4:45 PM,0.00,2.69
2020-07-07,5:00 PM,0.00,2.69
2020-07-07,5:15 PM,0.00,2.69
2020-07-07,5:30 PM,0.00,2.69
2020-07-07,5:45 PM,0.00,2.69
2020-07-07,6:00 PM,0.00,2.69
2020-07-07,6:15 PM,0.00,2.69
2020-07-07,6:30 PM,0.00,2.69
2020-07-07,6:45 PM,0.00,2.69
2020-07-07,7:00 PM,0.00,2.69
2020-07-07,7:15 PM,0.00,2.69
2020-07-07,7:30 PM,0.00,2.69
2020-07-07,7:45 PM,0.00,2.69
2020-07-07,8:00 PM,0.00,2.69
2020-07-07,8:15 PM,0.00,2.69
2020-07-07,8:30 PM,0.00,2.69
2020-07-07,8:45 PM,0.00,2.69
2020-07-07,9:00 PM,0.00,2.69
2020-07-07,9:15 PM,0.00,2.69
2020-07-07,9:30 PM,0.00,2.69
2020-07-07,9:45 PM,0.00,2.69
2020-07-07,10:00 PM,0.00,2.69
2020-07-07,10:15 PM,0.00,2.69
2020-07-07,10:30 PM,0.00,2.69
2020-07-07,10:45 PM,0.00,2.69
2020-07-07,11:00 PM,0.00,2.69
2020-07-07,11:15 PM,0.00,2.69
2020-07-07,11:30 PM,0.00,2.69
2020-07-07,11:45 PM,0.00,2.69
