iso_issued,issued,iso_expired,expired,eventid,phenomena,significance,hvtec_nwsli,wfo,name,ph_name,sig_name
2000-02-14T22:30:00Z,2000-02-14 22:30,2000-02-14T23:15:00Z,2000-02-14 23:15,4,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2000-05-10T21:43:00Z,2000-05-10 21:43,2000-05-10T22:30:00Z,2000-05-10 22:30,45,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2000-06-02T23:08:00Z,2000-06-02 23:08,2000-06-03T00:00:00Z,2000-06-03 00:00,105,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2000-06-15T23:34:00Z,2000-06-15 23:34,2000-06-16T00:15:00Z,2000-06-16 00:15,129,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2000-07-03T23:44:00Z,2000-07-03 23:44,2000-07-04T00:30:00Z,2000-07-04 00:30,167,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2000-07-28T23:22:00Z,2000-07-28 23:22,2000-07-29T00:30:00Z,2000-07-29 00:30,211,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2000-08-07T21:24:00Z,2000-08-07 21:24,2000-08-07T22:30:00Z,2000-08-07 22:30,220,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2000-08-09T21:25:00Z,2000-08-09 21:25,2000-08-09T22:30:00Z,2000-08-09 22:30,252,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2000-09-03T22:04:00Z,2000-09-03 22:04,2000-09-03T23:00:00Z,2000-09-03 23:00,35,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2001-03-14T02:35:00Z,2001-03-14 02:35,2001-03-14T03:15:00Z,2001-03-14 03:15,4,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2001-05-22T23:19:00Z,2001-05-22 23:19,2001-05-22T23:45:00Z,2001-05-22 23:45,29,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2001-05-25T19:15:00Z,2001-05-25 19:15,2001-05-25T20:00:00Z,2001-05-25 20:00,34,SV,W,,LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2001-06-23T02:22:00Z,2001-06-23 02:22,2001-06-23T05:15:00Z,2001-06-23 05:15,30,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2001-08-11T20:16:00Z,2001-08-11 20:16,2001-08-11T22:30:00Z,2001-08-11 22:30,41,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2001-09-24T20:53:00Z,2001-09-24 20:53,2001-09-24T21:30:00Z,2001-09-24 21:30,17,TO,W,,LWX,Tornado Warning,Tornado,Warning
2002-04-19T19:12:00Z,2002-04-19 19:12,2002-04-19T20:00:00Z,2002-04-19 20:00,5,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2002-05-12T22:23:00Z,2002-05-12 22:23,2002-05-12T23:15:00Z,2002-05-12 23:15,28,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2002-05-14T20:29:00Z,2002-05-14 20:29,2002-05-14T21:15:00Z,2002-05-14 21:15,50,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2002-06-27T22:43:00Z,2002-06-27 22:43,2002-06-27T23:30:00Z,2002-06-27 23:30,141,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2002-08-01T22:14:00Z,2002-08-01 22:14,2002-08-01T23:15:00Z,2002-08-01 23:15,159,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2002-08-02T00:28:00Z,2002-08-02 00:28,2002-08-02T03:30:00Z,2002-08-02 03:30,27,FF,W,"     ",LWX,Flash Flood Warning,Flash Flood,Warning
2002-08-05T20:49:00Z,2002-08-05 20:49,2002-08-05T21:45:00Z,2002-08-05 21:45,193,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2002-11-11T10:54:00Z,2002-11-11 10:54,2002-11-11T11:30:00Z,2002-11-11 11:30,28,TO,W,"     ",LWX,Tornado Warning,Tornado,Warning
2003-05-07T22:03:00Z,2003-05-07 22:03,2003-05-07T23:00:00Z,2003-05-07 23:00,16,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2003-05-08T15:51:00Z,2003-05-08 15:51,2003-05-08T16:15:00Z,2003-05-08 16:15,19,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2003-06-12T00:40:00Z,2003-06-12 00:40,2003-06-12T01:30:00Z,2003-06-12 01:30,51,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2003-06-20T01:01:00Z,2003-06-20 01:01,2003-06-20T04:00:00Z,2003-06-20 04:00,62,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2003-07-09T20:20:00Z,2003-07-09 20:20,2003-07-09T21:30:00Z,2003-07-09 21:30,132,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2003-08-26T20:38:00Z,2003-08-26 20:38,2003-08-26T22:15:00Z,2003-08-26 22:15,228,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2003-08-26T20:58:00Z,2003-08-26 20:58,2003-08-27T00:00:00Z,2003-08-27 00:00,110,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2003-11-19T20:23:00Z,2003-11-19 20:23,2003-11-20T00:15:00Z,2003-11-20 00:15,144,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2004-05-05T20:58:00Z,2004-05-05 20:58,2004-05-05T22:00:00Z,2004-05-05 22:00,22,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2004-05-16T20:12:00Z,2004-05-16 20:12,2004-05-16T21:15:00Z,2004-05-16 21:15,57,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2004-05-22T02:10:00Z,2004-05-22 02:10,2004-05-22T03:00:00Z,2004-05-22 03:00,95,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2004-05-25T23:47:00Z,2004-05-25 23:47,2004-05-26T00:30:00Z,2004-05-26 00:30,117,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2004-05-26T00:14:00Z,2004-05-26 00:14,2004-05-26T01:00:00Z,2004-05-26 01:00,11,TO,W,"     ",LWX,Tornado Warning,Tornado,Warning
2004-06-01T18:47:00Z,2004-06-01 18:47,2004-06-01T19:30:00Z,2004-06-01 19:30,129,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2004-07-14T18:51:00Z,2004-07-14 18:51,2004-07-14T19:30:00Z,2004-07-14 19:30,198,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2004-08-11T19:44:00Z,2004-08-11 19:44,2004-08-11T20:45:00Z,2004-08-11 20:45,218,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2004-08-12T22:23:00Z,2004-08-12 22:23,2004-08-13T04:30:00Z,2004-08-13 04:30,58,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
2004-10-02T22:28:00Z,2004-10-02 22:28,2004-10-02T23:15:00Z,2004-10-02 23:15,252,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2004-10-02T23:15:00Z,2004-10-02 23:15,2004-10-03T00:00:00Z,2004-10-03 00:00,253,SV,W,"     ",LWX,Severe Thunderstorm Warning,Severe Thunderstorm,Warning
2005-01-14T11:50:00Z,2005-01-14 11:50,2005-01-14T15:45:00Z,2005-01-14 15:45,1,FF,W,,LWX,Flash Flood Warning,Flash Flood,Warning
