Date,Time,Precip. Rate.,Precip. Accum.
2020-04-13,12:00 AM,0.11,0.00
2020-04-13,12:15 AM,0.11,0.02
2020-04-13,12:30 AM,0.10,0.04
2020-04-13,12:45 AM,0.11,0.08
2020-04-13,1:00 AM,0.11,0.11
2020-04-13,1:15 AM,0.09,0.11
2020-04-13,1:30 AM,0.07,0.11
2020-04-13,1:45 AM,0.04,0.12
2020-04-13,2:00 AM,0.02,0.13
2020-04-13,2:15 AM,0.02,0.13
2020-04-13,2:30 AM,0.03,0.14
2020-04-13,2:45 AM,0.02,0.14
2020-04-13,3:00 AM,0.01,0.14
2020-04-13,3:15 AM,0.08,0.21
2020-04-13,3:30 AM,0.09,0.23
2020-04-13,3:45 AM,0.12,0.26
2020-04-13,4:00 AM,0.17,0.31
2020-04-13,4:15 AM,0.21,0.43
2020-04-13,4:30 AM,0.35,0.59
2020-04-13,4:45 AM,0.84,1.10
2020-04-13,5:00 AM,0.88,1.19
2020-04-13,5:15 AM,0.75,1.19
2020-04-13,5:30 AM,0.60,1.20
2020-04-13,5:45 AM,0.10,1.23
2020-04-13,6:00 AM,0.11,1.30
2020-04-13,6:15 AM,0.17,1.36
2020-04-13,6:30 AM,0.22,1.42
2020-04-13,6:45 AM,0.29,1.52
2020-04-13,7:00 AM,0.41,1.71
2020-04-13,7:15 AM,0.56,1.92
2020-04-13,7:30 AM,0.63,2.05
2020-04-13,7:45 AM,0.72,2.25
2020-04-13,8:00 AM,0.83,2.54
2020-04-13,8:15 AM,0.67,2.59
2020-04-13,8:30 AM,0.55,2.60
2020-04-13,8:45 AM,0.33,2.60
2020-04-13,9:00 AM,0.08,2.62
2020-04-13,9:15 AM,0.03,2.62
2020-04-13,9:30 AM,0.02,2.62
2020-04-13,9:45 AM,0.02,2.62
2020-04-13,10:00 AM,0.00,2.62
2020-04-13,10:15 AM,0.00,2.62
2020-04-13,10:30 AM,0.00,2.62
2020-04-13,10:45 AM,0.00,2.62
2020-04-13,11:00 AM,0.00,2.62
2020-04-13,11:15 AM,0.00,2.62
2020-04-13,11:30 AM,0.00,2.62
2020-04-13,11:45 AM,0.00,2.62
2020-04-13,12:00 PM,0.03,2.65
2020-04-13,12:15 PM,0.03,2.65
2020-04-13,12:30 PM,0.03,2.65
2020-04-13,12:45 PM,0.02,2.65
2020-04-13,1:00 PM,0.26,2.91
2020-04-13,1:15 PM,0.59,3.24
2020-04-13,1:30 PM,0.59,3.24
2020-04-13,1:45 PM,0.59,3.24
2020-04-13,2:00 PM,0.32,3.24
2020-04-13,2:15 PM,0.00,3.24
2020-04-13,2:30 PM,0.01,3.25
2020-04-13,2:45 PM,0.01,3.25
2020-04-13,3:00 PM,0.02,3.26
2020-04-13,3:15 PM,0.02,3.26
2020-04-13,3:30 PM,0.01,3.26
2020-04-13,3:45 PM,0.01,3.26
2020-04-13,4:00 PM,0.00,3.26
2020-04-13,4:15 PM,0.00,3.26
2020-04-13,4:30 PM,0.00,3.26
2020-04-13,4:45 PM,0.00,3.26
2020-04-13,5:00 PM,0.00,3.26
2020-04-13,5:15 PM,0.00,3.26
2020-04-13,5:30 PM,0.00,3.26
2020-04-13,5:45 PM,0.00,3.26
2020-04-13,6:15 PM,0.00,3.26
2020-04-13,6:30 PM,0.00,3.26
2020-04-13,6:45 PM,0.00,3.26
2020-04-13,7:00 PM,0.00,3.26
2020-04-13,7:15 PM,0.00,3.26
2020-04-13,7:30 PM,0.00,3.26
2020-04-13,7:45 PM,0.00,3.26
2020-04-13,8:15 PM,0.00,3.26
2020-04-13,8:30 PM,0.00,3.26
2020-04-13,8:45 PM,0.00,3.26
2020-04-13,9:00 PM,0.00,3.26
2020-04-13,9:15 PM,0.00,3.26
2020-04-13,9:30 PM,0.00,3.26
2020-04-13,9:45 PM,0.00,3.26
2020-04-13,10:00 PM,0.00,3.26
2020-04-13,10:15 PM,0.00,3.26
2020-04-13,10:30 PM,0.00,3.26
2020-04-13,10:45 PM,0.00,3.26
2020-04-13,11:00 PM,0.00,3.26
2020-04-13,11:15 PM,0.00,3.26
2020-04-13,11:30 PM,0.00,3.26
2020-04-13,11:45 PM,0.00,3.26
